text,label
"repeat this back to me: good morning",echo
"echo the phrase hello there",echo
"say this exactly as I typed it",echo
"just repeat what I say",echo
"can you echo my message",echo
"restate this sentence for me",echo
"parrot back what I just wrote",echo
"echo: testing one two three",echo
"say back ""see you tomorrow""",echo
"repeat after me: the sky is blue",echo
"can you just mirror what I type",echo
"echo this text word for word",echo
"give me back exactly what I said",echo
"repeat: quarterly report is due friday",echo
"copy this text back to me",echo
"say exactly what I just typed, nothing else",echo
"echo back ""meeting moved to 3pm""",echo
"repeat my last message verbatim",echo
"just say what I say, don't change anything",echo
"can you parrot this phrase back",echo
"echo ""system check complete""",echo
"repeat this line: status ok",echo
"say this back to me character for character",echo
"echo my input without changing it",echo
"repeat verbatim: the deployment succeeded",echo
"just bounce this text back at me",echo
"can you print exactly what I type",echo
"echo test 123",echo
"repeat this string back: hello world",echo
"say it back the same way I wrote it",echo
"echo: all systems nominal",echo
"repeat exactly, don't paraphrase: build passed",echo
"can you just reflect my message back",echo
"say back what I wrote above",echo
"echo the following line unchanged",echo
"repeat this back word for word: task complete",echo
"just give me an exact copy of what I typed",echo
"echo ""hello from the other side""",echo
"repeat this input with no changes",echo
"say it back exactly, no summarizing",echo
"what is 45 plus 12",calculator
"calculate 8 times 7",calculator
"what's 100 divided by 4",calculator
"solve 23 minus 9",calculator
"do the math on 15 * 3 + 2",calculator
"what is the square of 12 (12*12)",calculator
"compute 500 / 25",calculator
"add 45 and 78 for me",calculator
"what's 9 squared",calculator
"how much is 340 minus 158",calculator
"multiply 24 by 6",calculator
"what's the sum of 12, 45, and 8",calculator
"divide 900 by 15",calculator
"what is 7 to the power of 3",calculator
"can you subtract 88 from 200",calculator
"what's 15% of 240",calculator
"calculate the average of 10, 20, and 30",calculator
"how much is 3.5 times 4",calculator
"what is 1000 minus 347",calculator
"add up 22 + 58 + 91",calculator
"what's 144 divided by 12",calculator
"compute 2 to the 10th power",calculator
"what is 500 * 0.2",calculator
"how many is 6 dozen",calculator
"what's the square root of 81",calculator
"calculate 17 + 29 - 5",calculator
"what is 60 divided by 8",calculator
"multiply 3.14 by 2",calculator
"what's 250 plus 75 minus 10",calculator
"how much change from $50 if I spend $23.75",calculator
"do 12 * 12 * 12 for me",calculator
"what is 999 divided by 3",calculator
"calculate compound interest on 1000 at 5% for 2 years",calculator
"what's 7 times 8 minus 4",calculator
"add these numbers: 4, 8, 15, 16, 23, 42",calculator
"what is 45.5 + 12.25",calculator
"how much is 30% off of 80",calculator
"compute 2^8",calculator
"what's 1024 divided by 2",calculator
"calculate 5 factorial",calculator
"what does my resume say about kubernetes",rag_search
"tell me about my work experience",rag_search
"what backend frameworks do I know",rag_search
"search my background for AWS experience",rag_search
"what did I do at Nodescale",rag_search
"summarize my technical skills",rag_search
